epsilon,cos_phi_r,delta,E_E0,Es_E0,Es_E,Es0_E0
0.05,0.75,0.05,0.9262865722656249,0.8441890068909169,0.8992463727363501,0.9141666666666667
0.05,0.75,0.061111111111111116,0.9259561577690972,0.8438754006203908,0.8992285725058684,0.9141666666666667
0.05,0.75,0.07222222222222222,0.9256257432725695,0.8435617943498644,0.8992107595673258,0.9141666666666667
0.05,0.75,0.08333333333333333,0.9252953287760416,0.8432481880793381,0.8991929339071086,0.9141666666666667
0.05,0.75,0.09444444444444444,0.9249649142795139,0.8429345818088119,0.8991750955115833,0.9141666666666667
0.05,0.75,0.10555555555555556,0.9246344997829862,0.8426209755382856,0.899157244367097,0.9141666666666667
0.05,0.75,0.11666666666666665,0.9243040852864585,0.8423073692677594,0.8991393804599779,0.9141666666666667
0.05,0.75,0.12777777777777777,0.9239736707899304,0.841993762997233,0.899121503776534,0.9141666666666667
0.05,0.75,0.1388888888888889,0.9236432562934027,0.8416801567267067,0.8991036143030536,0.9141666666666667
0.05,0.75,0.15,0.923312841796875,0.8413665504561807,0.8990857120258062,0.9141666666666667
0.05,0.7777777777777778,0.05,0.9263396745954242,0.8441798840891562,0.8992642256035541,0.9141071428571428
0.05,0.7777777777777778,0.061111111111111116,0.9260210606166295,0.8438774780425772,0.8992470684412093,0.9141071428571428
0.05,0.7777777777777778,0.07222222222222222,0.9257024466378347,0.8435750719959983,0.8992298994683486,0.9141071428571428
0.05,0.7777777777777778,0.08333333333333333,0.9253838326590402,0.8432726659494194,0.8992127186727726,0.9141071428571428
0.05,0.7777777777777778,0.09444444444444444,0.9250652186802455,0.8429702599028406,0.8991955260422656,0.9141071428571428
0.05,0.7777777777777778,0.10555555555555556,0.9247466047014509,0.8426678538562615,0.899178321564594,0.9141071428571428
0.05,0.7777777777777778,0.11666666666666665,0.9244279907226561,0.8423654478096829,0.8991611052275089,0.9141071428571428
0.05,0.7777777777777778,0.12777777777777777,0.9241093767438617,0.842063041763104,0.899143877018743,0.9141071428571428
0.05,0.7777777777777778,0.1388888888888889,0.923790762765067,0.841760635716525,0.899126636926013,0.9141071428571428
0.05,0.7777777777777778,0.15,0.9234721487862723,0.8414582296699461,0.8991093849370186,0.9141071428571428
0.05,0.8055555555555556,0.05,0.9263891146955818,0.8441713904461376,0.8992818793642046,0.914051724137931
0.05,0.8055555555555556,0.061111111111111116,0.9260814874057112,0.8438794121942685,0.8992653207733039,0.914051724137931
0.05,0.8055555555555556,0.07222222222222222,0.9257738601158404,0.8435874339423992,0.8992487511778271,0.914051724137931
0.05,0.8055555555555556,0.08333333333333333,0.92546623282597,0.84329545569053,0.8992321705668002,0.914051724137931
0.05,0.8055555555555556,0.09444444444444444,0.9251586055360991,0.8430034774386607,0.8992155789292353,0.914051724137931
0.05,0.8055555555555556,0.10555555555555556,0.9248509782462284,0.8427114991867913,0.8991989762541288,0.914051724137931
0.05,0.8055555555555556,0.11666666666666665,0.9245433509563578,0.8424195209349222,0.899182362530463,0.914051724137931
0.05,0.8055555555555556,0.12777777777777777,0.924235723666487,0.8421275426830529,0.8991657377472059,0.914051724137931
0.05,0.8055555555555556,0.1388888888888889,0.9239280963766164,0.8418355644311837,0.8991491018933102,0.914051724137931
0.05,0.8055555555555556,0.15,0.9236204690867457,0.8415435861793142,0.8991324549577139,0.914051724137931
